public_class,object_name,public_anomaly,description,example_image_relpath,example_mask_relpath
class_02,inductor,anomaly_06,"Visual cue: same as standard color, may show discoloration; irregular or patchy; surface area; variable; one or more stained areas. Likely cause: contamination during manufacturing or handling, or exposure to foreign substances.",class_02/train/anomaly_06/img_9f7877d1e773baceae58_view1.png,class_02/ground_truth_train/anomaly_06/img_9f7877d1e773baceae58_view1.png
class_03,gear,anomaly_01,"Visual cue: gray or metallic; irregular fragments or rough edges; surface or edges of gear; variable, affecting sections of the gear; multiple fragments. Likely cause: excessive mechanical stress, impact, or fatigue leading to structural failure.",class_03/train/anomaly_01/img_5cb26b5ff84a2385612c_view1.png,class_03/ground_truth_train/anomaly_01/img_5cb26b5ff84a2385612c_view1.png
class_03,gear,anomaly_02,Localized visual anomaly affecting the object surface.,class_03/train/anomaly_02/img_e35da89f87fab7df09d3_view1.png,class_03/ground_truth_train/anomaly_02/img_e35da89f87fab7df09d3_view1.png
class_03,gear,anomaly_03,Visual cue: gray or metallic; linear or shallow groove; surface of gear; small or linear; single or multiple scratches. Likely cause: contact with abrasive materials or incorrect handling.,class_03/train/anomaly_03/img_1941eec2136e8ccb8dc9_view1.png,class_03/ground_truth_train/anomaly_03/img_1941eec2136e8ccb8dc9_view1.png
class_03,gear,anomaly_04,"Visual cue: dark or discolored patches; irregular or blotchy; surface of gear; variable, could be small or large; single or multiple stains. Likely cause: exposure to oil, dirt, or other contaminants leading to surface discoloration.",class_03/train/anomaly_04/img_4611ff8c1e8c25affc7e_view1.png,class_03/ground_truth_train/anomaly_04/img_4611ff8c1e8c25affc7e_view1.png
class_04,screw,anomaly_01,"Visual cue: gray or metallic; irregular or jagged edges; body or head of screw; varies, often extensive; multiple fragments or pieces. Likely cause: excessive stress, impact during use, or manufacturing flaws leading to fracture.",class_04/train/anomaly_01/img_271924820db705efac0f_view1.png,class_04/ground_truth_train/anomaly_01/img_271924820db705efac0f_view1.png
class_04,screw,anomaly_02,"Visual cue: metallic or gray; concave or dented; head or body of screw; small to medium depression; single or multiple indentations. Likely cause: impact damage, excessive torque, or improper handling during installation.",class_04/train/anomaly_02/img_8008084c1e6c1b250008_view1.png,class_04/ground_truth_train/anomaly_02/img_8008084c1e6c1b250008_view1.png
class_04,screw,anomaly_03,Localized visual anomaly affecting the object surface.,class_04/train/anomaly_03/img_352fba261a2b4cdf2d8d_view1.png,class_04/ground_truth_train/anomaly_03/img_352fba261a2b4cdf2d8d_view1.png
class_04,screw,anomaly_04,"Visual cue: metallic or silver; line or groove; screw surface or threads; small or linear; single or multiple scratches. Likely cause: mechanical abrasion, mishandling, or improper storage causing surface damage.",class_04/train/anomaly_04/img_6947bbb1d7b1213620b3_view1.png,class_04/ground_truth_train/anomaly_04/img_6947bbb1d7b1213620b3_view1.png
class_04,screw,anomaly_05,"Visual cue: variable, possibly dark or discolored; irregular or blotchy; surface of the screw; small to medium stain area; one or multiple stains. Likely cause: exposure to moisture, contamination during handling, or chemical reaction causing discoloration.",class_04/train/anomaly_05/img_e860829f48ad9889c0a3_view1.png,class_04/ground_truth_train/anomaly_05/img_e860829f48ad9889c0a3_view1.png
class_05,nut,anomaly_01,"Visual cue: varied, depending on contaminant (e.g., dirt, oil, debris); discolored or coated surface; surface of nut; variable, covering small to large areas; one or multiple contamination spots. Likely cause: exposure to foreign materials, improper handling, or storage conditions leading to surface soiling.",class_05/train/anomaly_01/img_bbd20061ab7dccadbedd_view1.png,class_05/ground_truth_train/anomaly_01/img_bbd20061ab7dccadbedd_view1.png
class_05,nut,anomaly_02,"Visual cue: metallic or rust-colored; irregular or jagged fragments; surface of nut; variable, depending on fragmentation extent; single or multiple fragments. Likely cause: mechanical stress, impact damage, or material fatigue causing breakage.",class_05/train/anomaly_02/img_0b5d4b04d50b02c73a6c_view1.png,class_05/ground_truth_train/anomaly_02/img_0b5d4b04d50b02c73a6c_view1.png
class_05,nut,anomaly_03,"Visual cue: metallic or gray; depressed or dimpled area; surface of nut; variable, often small to medium; single or multiple indentations. Likely cause: impact damage, excessive torque application, or molding error during production.",class_05/train/anomaly_03/img_6c4dd89622f3476fa42e_view1.png,class_05/ground_truth_train/anomaly_03/img_6c4dd89622f3476fa42e_view1.png
class_05,nut,anomaly_04,"Visual cue: same as nut color (e.g., metallic, black, or gray); raised or bulging area; surface of nut; variable, typically small; single or multiple protrusions. Likely cause: material over-extrusion during manufacturing, mold imbalance, or structural stress.",class_05/train/anomaly_04/img_14eed21cdb92d2b3f0d9_view1.png,class_05/ground_truth_train/anomaly_04/img_14eed21cdb92d2b3f0d9_view1.png
class_05,nut,anomaly_05,"Visual cue: metallic or gray; linear or jagged; surface of nut; small to medium size scratch; single or multiple scratches. Likely cause: mechanical impact, abrasive contact, or improper handling during assembly.",class_05/train/anomaly_05/img_5895c70fdbfefa0570f3_view1.png,class_05/ground_truth_train/anomaly_05/img_5895c70fdbfefa0570f3_view1.png
class_05,nut,anomaly_06,"Visual cue: various, often darker or discoloration compared to base color; irregular or blotchy; surface of nut; variable, can cover small spot to larger areas; one or multiple stains. Likely cause: chemical exposure, oil residue, or contamination during handling.",class_05/train/anomaly_06/img_36663614aed13aa629bc_view1.png,class_05/ground_truth_train/anomaly_06/img_36663614aed13aa629bc_view1.png
class_06,coffee,anomaly_01,Localized visual anomaly affecting the object surface.,class_06/train/anomaly_01/img_6794a880df288962ce6c_view1.png,class_06/ground_truth_train/anomaly_01/img_6794a880df288962ce6c_view1.png
class_06,coffee,anomaly_02,Localized visual anomaly affecting the object surface.,class_06/train/anomaly_02/img_227d3828d15f170ac54a_view1.png,class_06/ground_truth_train/anomaly_02/img_227d3828d15f170ac54a_view1.png
class_06,coffee,anomaly_03,"Visual cue: brown or black markings; irregular holes or discolorations; surface of the beans; variable, small to large patches; single or multiple beans affected. Likely cause: infestation by pests during storage or growth leading to damage.",class_06/train/anomaly_03/img_aaf7e31dfa26b82df5bb_view1.png,class_06/ground_truth_train/anomaly_03/img_aaf7e31dfa26b82df5bb_view1.png
class_06,coffee,anomaly_04,"Visual cue: green or grayish; fuzzy or powdery patches; surface of the bean; variable, covering part of the bean; single or multiple beans affected. Likely cause: moisture exposure during storage or processing leading to fungal growth.",class_06/train/anomaly_04/img_7de85d49e11df0d413eb_view1.png,class_06/ground_truth_train/anomaly_04/img_7de85d49e11df0d413eb_view1.png
class_06,coffee,anomaly_05,Localized visual anomaly affecting the object surface.,class_06/train/anomaly_05/img_d58336a01991539644e4_view1.png,class_06/ground_truth_train/anomaly_05/img_d58336a01991539644e4_view1.png
class_06,coffee,anomaly_06,Localized visual anomaly affecting the object surface.,class_06/train/anomaly_06/img_e4fb8e04dbe413e7731a_view1.png,class_06/ground_truth_train/anomaly_06/img_e4fb8e04dbe413e7731a_view1.png
class_06,coffee,anomaly_07,Localized visual anomaly affecting the object surface.,class_06/train/anomaly_07/img_9d97b1cf80ace1f1176e_view1.png,class_06/ground_truth_train/anomaly_07/img_9d97b1cf80ace1f1176e_view1.png
class_07,pistachio,anomaly_01,Visual cue: green or beige; jagged or fissured edge; shell of the pistachios; small to medium crack; single or multiple nuts affected. Likely cause: environmental factors during growth or handling issues during processing.,class_07/train/anomaly_01/img_b2050d2d94e54811ec80_view1.png,class_07/ground_truth_train/anomaly_01/img_b2050d2d94e54811ec80_view1.png
class_07,pistachio,anomaly_02,Visual cue: brown or darkened areas; irregular or pitted marks; surface of the nut; small to medium patches; single or multiple nuts affected. Likely cause: infestation by insects leading to surface damage.,class_07/train/anomaly_02/img_3b6bc605309439404b8f_view1.png,class_07/ground_truth_train/anomaly_02/img_3b6bc605309439404b8f_view1.png
class_07,pistachio,anomaly_03,Localized visual anomaly affecting the object surface.,class_07/train/anomaly_03/img_02c2bd430e9cd4041ef4_view1.png,class_07/ground_truth_train/anomaly_03/img_02c2bd430e9cd4041ef4_view1.png
class_07,pistachio,anomaly_04,Localized visual anomaly affecting the object surface.,class_07/train/anomaly_04/img_e55692a34d76c6bb31a4_view1.png,class_07/ground_truth_train/anomaly_04/img_e55692a34d76c6bb31a4_view1.png
class_07,pistachio,anomaly_05,Localized visual anomaly affecting the object surface.,class_07/train/anomaly_05/img_25c4facf25c697ddffa6_view1.png,class_07/ground_truth_train/anomaly_05/img_25c4facf25c697ddffa6_view1.png
class_07,pistachio,anomaly_06,Visual cue: brown or dark; round or irregular; shell or nut surface; small spot or fleck; single or multiple nuts affected. Likely cause: potential pest damage or environmental stress during growth.,class_07/train/anomaly_06/img_e0021df60babd479cfd1_view1.png,class_07/ground_truth_train/anomaly_06/img_e0021df60babd479cfd1_view1.png
class_07,pistachio,anomaly_07,Localized visual anomaly affecting the object surface.,class_07/train/anomaly_07/img_67b2a1796b40f7c9b43a_view1.png,class_07/ground_truth_train/anomaly_07/img_67b2a1796b40f7c9b43a_view1.png
class_08,capsule,anomaly_01,"Visual cue: same as capsule body color; flattened or indented surface; surface area affected by compression; variable, depending on compression extent; multiple occurrences possible. Likely cause: excessive pressure during manufacturing leading to compression of the capsule.",class_08/train/anomaly_01/img_040ef43f60b4a440dc0c_view1.png,class_08/ground_truth_train/anomaly_01/img_040ef43f60b4a440dc0c_view1.png
class_08,capsule,anomaly_02,Visual cue: darker shade or grayish around crack; linear or jagged line; surface area of the capsule; varies with crack length; single or multiple cracks. Likely cause: stress or impact causing a crack to form in the capsule.,class_08/train/anomaly_02/img_2dc4772ef07695e266ca_view1.png,class_08/ground_truth_train/anomaly_02/img_2dc4772ef07695e266ca_view1.png
class_08,capsule,anomaly_03,Visual cue: same as capsule cap color; layered cap shape; top and bottom ends; small additional layer; one additional cap. Likely cause: manufacturing defect causing an extra cap layer to form on the capsule.,class_08/train/anomaly_03/img_723b766aacd3f6e3d500_view1.png,class_08/ground_truth_train/anomaly_03/img_723b766aacd3f6e3d500_view1.png
class_08,capsule,anomaly_04,Visual cue: same as capsule color; irregular fragments; surface area; varies with fragment size; multiple fragments. Likely cause: manufacturing defect or mechanical damage causing fragmentation of the capsule surface.,class_08/train/anomaly_04/img_a7b5c38313bb35fc1b5b_view1.png,class_08/ground_truth_train/anomaly_04/img_a7b5c38313bb35fc1b5b_view1.png
class_08,capsule,anomaly_05,Visual cue: same as capsule color; dimpled or hollowed shape; surface area; small to medium indentation; single or multiple indentations. Likely cause: manufacturing defect or improper handling causing indentation on the capsule surface.,class_08/train/anomaly_05/img_69c8a08f96a608e90e00_view1.png,class_08/ground_truth_train/anomaly_05/img_69c8a08f96a608e90e00_view1.png
class_08,capsule,anomaly_06,Localized visual anomaly affecting the object surface.,class_08/train/anomaly_06/img_313f23f6da3a02a46a60_view1.png,class_08/ground_truth_train/anomaly_06/img_313f23f6da3a02a46a60_view1.png
class_08,capsule,anomaly_07,Visual cue: darker shade or discoloration around stain; irregular or blotchy; surface area of capsule; small to medium-sized stain; one or multiple stains. Likely cause: contamination or exposure to moisture or substances causing staining on the capsule surface.,class_08/train/anomaly_07/img_dc4c293c1bb10f4d29e5_view1.png,class_08/ground_truth_train/anomaly_07/img_dc4c293c1bb10f4d29e5_view1.png
